Id,Family,Genus,Subgenus,Species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
86,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.4309409,0.058263892,0.312625698,0.031913921,0.265570555,-0.077718484,0.156718341,-0.159507631,-0.150022595,-0.174400349,-0.106875367,-0.115737296,-0.116469994,-0.040681677,-0.437904781,-0.034310661,-0.417488731,0.031208049,-0.125573286,0.086980944,-0.064607829,0.128538599,0.071368252,0.127677927,0.130040946,0.095676332,0.051677889,0.042096434
87,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.433606978,0.061669456,0.295628787,0.030848351,0.258585752,-0.079599955,0.163831496,-0.161858703,-0.150222908,-0.178996828,-0.104696191,-0.117624284,-0.115158891,-0.038089762,-0.443871955,-0.035957743,-0.420966619,0.034591428,-0.113172728,0.086529211,-0.058548691,0.130129168,0.071816366,0.134205708,0.130873369,0.099174966,0.052295235,0.034978986
88,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.426963849,0.061379078,0.297062542,0.030942702,0.257733912,-0.077844912,0.162990203,-0.167486086,-0.153396445,-0.183614003,-0.10303317,-0.124437698,-0.115265728,-0.044107159,-0.444064007,-0.038797059,-0.415786933,0.032032655,-0.113501641,0.096730339,-0.058416678,0.135961442,0.077791796,0.137755879,0.129226035,0.098102925,0.051696262,0.043381898
89,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.417744563,0.062551828,0.307877251,0.033695166,0.270159472,-0.07800837,0.159914346,-0.167288387,-0.154830659,-0.180206433,-0.10578694,-0.131447801,-0.115662229,-0.050557271,-0.437612611,-0.030687423,-0.416241446,0.040605998,-0.114345274,0.092190661,-0.059204165,0.12935487,0.061351639,0.13950446,0.12371861,0.100169122,0.062917441,0.040123581
90,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.432280528,0.064204451,0.293235575,0.037513277,0.261747075,-0.078166541,0.16017715,-0.164592641,-0.15098983,-0.188059061,-0.112651741,-0.125543724,-0.118565647,-0.045108811,-0.43545966,-0.032678447,-0.420213232,0.035931997,-0.115121709,0.092034794,-0.057016987,0.129684035,0.083513938,0.130165043,0.127337896,0.102068521,0.051726643,0.042547107
91,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.432016313,0.064165239,0.297168119,0.033928261,0.258027323,-0.077114756,0.163268571,-0.165956094,-0.150809908,-0.180103186,-0.103579407,-0.117244262,-0.121207999,-0.038845944,-0.439645403,-0.034709097,-0.421686912,0.036035262,-0.119638134,0.090844545,-0.058267467,0.127346642,0.074387664,0.131155075,0.131989467,0.097959885,0.057977771,0.03253843
92,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.421407925,0.063004794,0.304524727,0.036387511,0.260699801,-0.080994884,0.162024645,-0.163261195,-0.154165493,-0.186698554,-0.112460248,-0.126506553,-0.126439371,-0.041484015,-0.437832719,-0.043037026,-0.409518646,0.037660208,-0.117484345,0.095851001,-0.059016039,0.133641384,0.077013355,0.134809656,0.134992102,0.101006825,0.056254306,0.039620848
93,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.427375494,0.067903044,0.298646264,0.037365773,0.256374859,-0.078286313,0.161774749,-0.164116135,-0.152931231,-0.1785295,-0.114025757,-0.12330899,-0.122364881,-0.047812135,-0.438348617,-0.033560282,-0.420336075,0.03225282,-0.111215248,0.091812272,-0.052909641,0.128282403,0.07623255,0.131481962,0.135391537,0.099302103,0.056335999,0.037212977
94,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.429576758,0.060497739,0.29625692,0.029989065,0.254681698,-0.079000511,0.17211642,-0.165167574,-0.151601957,-0.179441874,-0.103517965,-0.117953817,-0.114518149,-0.044037194,-0.443474528,-0.036727354,-0.4181283,0.035529288,-0.121314122,0.091223886,-0.061053116,0.133352996,0.07626041,0.134225921,0.134832288,0.097144804,0.049883644,0.040364626
95,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.438845908,0.064651416,0.301523461,0.029985052,0.247893465,-0.073755627,0.153826315,-0.160386643,-0.149516349,-0.178263469,-0.105879214,-0.123056901,-0.121358979,-0.046275854,-0.444739586,-0.040804619,-0.414679824,0.030124458,-0.116373231,0.096387913,-0.05606239,0.134642586,0.077598956,0.135128866,0.128498478,0.096575433,0.06042299,0.035047389
